Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10
Input Beam,10,0,0,180,10,220.797401250129,0.81522698628182,1,0
Lens,60,50,100,79.5095411243212,150.244186528086,43.0811652335911,1.84557545491658,L1,None
Lens,110,50,100,54.1942900965483,144.844146645612,20.0150191875076,2.70768114628507,L2,None
