Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10
Input Beam,10,0,0,180,0,469.890839717193,0.81522698628182,1,0
Lens,60,50,100,80.2169843812226,152.055846193559,209.406811947076,1.82929910246136,L1,None
Lens,110,50,100,26.9761357863208,24.6828625364369,70.4213283164407,5.43965446693582,L2,None
